[::] Illuminance | temt6000_adc=9 | max44009_lx=30.500000
[::] Illuminance | temt6000_adc=13 | max44009_lx=33.500000
[::] Illuminance | temt6000_adc=16 | max44009_lx=32.000000
[::] Illuminance | temt6000_adc=20 | max44009_lx=33.000000
[::] Illuminance | temt6000_adc=19 | max44009_lx=29.500000
[::] Illuminance | temt6000_adc=20 | max44009_lx=28.000000
[::] Illuminance | temt6000_adc=17 | max44009_lx=29.000000
[::] Illuminance | temt6000_adc=17 | max44009_lx=29.500000
[::] Illuminance | temt6000_adc=18 | max44009_lx=27.500000
[::] Illuminance | temt6000_adc=16 | max44009_lx=28.500000
[::] Illuminance | temt6000_adc=15 | max44009_lx=28.500000
[::] Illuminance | temt6000_adc=15 | max44009_lx=29.000000
[::] Illuminance | temt6000_adc=13 | max44009_lx=28.000000
[::] Illuminance | temt6000_adc=12 | max44009_lx=29.000000
[::] Illuminance | temt6000_adc=14 | max44009_lx=28.500000
[::] Illuminance | temt6000_adc=14 | max44009_lx=27.500000
[::] Illuminance | temt6000_adc=24 | max44009_lx=41.800000
[::] Illuminance | temt6000_adc=40 | max44009_lx=66.000000
[::] Illuminance | temt6000_adc=42 | max44009_lx=65.000000
[::] Illuminance | temt6000_adc=42 | max44009_lx=65.000000
[::] Illuminance | temt6000_adc=42 | max44009_lx=66.000000
[::] Illuminance | temt6000_adc=44 | max44009_lx=65.000000
[::] Illuminance | temt6000_adc=40 | max44009_lx=65.000000
[::] Illuminance | temt6000_adc=49 | max44009_lx=65.000000
[::] Illuminance | temt6000_adc=43 | max44009_lx=66.000000
[::] Illuminance | temt6000_adc=35 | max44009_lx=65.000000
[::] Illuminance | temt6000_adc=33 | max44009_lx=66.000000
[::] Illuminance | temt6000_adc=25 | max44009_lx=64.000000
[::] Illuminance | temt6000_adc=39 | max44009_lx=68.000000
[::] Illuminance | temt6000_adc=37 | max44009_lx=70.000000
[::] Illuminance | temt6000_adc=13 | max44009_lx=33.500000
[::] Illuminance | temt6000_adc=15 | max44009_lx=30.500000
[::] Illuminance | temt6000_adc=15 | max44009_lx=30.000000
[::] Illuminance | temt6000_adc=9 | max44009_lx=19.500000
[::] Illuminance | temt6000_adc=1 | max44009_lx=2.000000
[::] Illuminance | temt6000_adc=1 | max44009_lx=3.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=3.000000
[::] Illuminance | temt6000_adc=1 | max44009_lx=2.400000
[::] Illuminance | temt6000_adc=7 | max44009_lx=13.900000
[::] Illuminance | temt6000_adc=6 | max44009_lx=15.700000
[::] Illuminance | temt6000_adc=7 | max44009_lx=15.200000
[::] Illuminance | temt6000_adc=8 | max44009_lx=16.000000
[::] Illuminance | temt6000_adc=7 | max44009_lx=14.800000
[::] Illuminance | temt6000_adc=3 | max44009_lx=13.000000
[::] Illuminance | temt6000_adc=5 | max44009_lx=13.000000
[::] Illuminance | temt6000_adc=4 | max44009_lx=13.000000
[::] Illuminance | temt6000_adc=3 | max44009_lx=13.000000
[::] Illuminance | temt6000_adc=5 | max44009_lx=13.000000
[::] Illuminance | temt6000_adc=4 | max44009_lx=8.670000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=4 | max44009_lx=5.000000
[::] Illuminance | temt6000_adc=9 | max44009_lx=14.700000
[::] Illuminance | temt6000_adc=7 | max44009_lx=15.000000
[::] Illuminance | temt6000_adc=4 | max44009_lx=14.300000
[::] Illuminance | temt6000_adc=7 | max44009_lx=15.500000
[::] Illuminance | temt6000_adc=9 | max44009_lx=13.500000
[::] Illuminance | temt6000_adc=9 | max44009_lx=15.300000
[::] Illuminance | temt6000_adc=8 | max44009_lx=16.000000
[::] Illuminance | temt6000_adc=8 | max44009_lx=16.000000
[::] Illuminance | temt6000_adc=9 | max44009_lx=15.800000
[::] Illuminance | temt6000_adc=7 | max44009_lx=16.000000
[::] Illuminance | temt6000_adc=8 | max44009_lx=16.000000
[::] Illuminance | temt6000_adc=6 | max44009_lx=16.000000
[::] Illuminance | temt6000_adc=7 | max44009_lx=16.000000
[::] Illuminance | temt6000_adc=6 | max44009_lx=13.800000
[::] Illuminance | temt6000_adc=7 | max44009_lx=13.000000
[::] Illuminance | temt6000_adc=4 | max44009_lx=8.670000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=1 | max44009_lx=2.500000
[::] Illuminance | temt6000_adc=0 | max44009_lx=3.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=3.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.500000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=2.670000
[::] Illuminance | temt6000_adc=1 | max44009_lx=2.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=2.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=2.500000
[::] Illuminance | temt6000_adc=1 | max44009_lx=3.000000
[::] Illuminance | temt6000_adc=1 | max44009_lx=3.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=3.000000
[::] Illuminance | temt6000_adc=0 | max44009_lx=3.000000
[::] Illuminance | temt6000_adc=3 | max44009_lx=2.830000
